Words,Amount
дзеркал,2
дзеркала,2
дзижчала,2
дзьоб,2
дзюркіт,2
дивак,2
дивились,2
дивися,2
дивитиметься,2
дивишся,2
дивного,2
дивної,2
дивовижного,2
дивом,2
дивуюсь,2
диктором,2
дим,2
дитинства,2
днями,2
доби,2
добрих,2
добром,2
добрі,2
добу,2
довго-довго,2
доведи,2
довелось,2
довести,2
довколишній,2
довкруж,2
доволі,2
додав,2
додолу,2
дозволю,2
доказ,2
доказу,2
долоня,2
долівці,2
долілиць,2
домівках,2
домівки,2
донедавна,2
допив,2
допомога,2
допомогу,2
допоможемо,2
допоможу,2
допоможіть,2
дорогами,2
дорогі,2
дорозі,2
доріг,2
доріжкою,2
доріжку,2
дотла,2
доторкнулася,2
доторкнулися,2
дочка,2
дочку,2
дошки,2
дощок,2
драбини,2
драглі,2
дракон,2
драми,2
драму,2
друже,2
дружньо,2
друкарем,2
друкував,2
дрібних,2
дрібниць,2
дрілла,2
дужче,2
думалося,2
думають,2
думи,2
думок,2
дурнем,2
духом,2
душею,2
душили,2
дюйм,2
дюйма,2
дівчинці,2
дійсності,2
дійшло,2
діка,2
дістане,2
дістати,2
діється,2
егоїст,2
екклезіаста,2
електричне,2
електронним,2
елм-стріт,2
еліксир,2
ен-бі-сі,2
енергія,2
еплгейта,2
епізод,2
еттілові,2
етюд,2
ех,2
жалібно,2
жарини,2
жаром,2
жару,2
жахлива,2
жахливий,2
жахливим,2
жахливих,2
жахливі,2
жахом,2
жбурнуло,2
жбурнути,2
желе,2
жене,2
жертві,2
живеш,2
живими,2
живитися,2
живих,2
живою,2
живцем,2
живіт,2
життям,2
жовтими,2
жовтогаряча,2
жовтогарячий,2
жовтогарячі,2
жовтому,2
жовтої,2
жорстоко,2
жук-автомобіль,2
жуки-автомобілі,2
жують,2
жінками,2
жінкою,2
жінці,2
з-за,2
заарештовані,2
забилися,2
забрала,2
забрів,2
забув,2
забувають,2
забуде,2
забудемо,2
забули,2
забурмотів,2
зав,2
завалився,2
завваживши,2
завернув,2
завершено,2
завершив,2
заводі,2
заволала,2
заворушення,2
заворушилися,2
завше,2
завіси,2
загадай,2
загальній,2
загине,2
загинемо,2
загинули,2
загинуло,2
загинуть,2
заговорити,2
загорлав,2
загрюкали,2
загубилися,2
задзижчав,2
задля,2
задумливо,2
зазирнути,2
закам,2
заклавши,2
заклад,2
закохані,2
закрутив,2
закуток,2
закінчено,2
закінчили,2
закінчилося,2
закінчите,2
закінчити,2
закінчувалося,2
закінчується,2
залишав,2
залишившись,2
залишилась,2
залізнична,2
замок,2
замолоду,2
занадто,2
заново,2
занурювалась,2
зап,2
запалили,2
запальничку,2
запахами,2
запис,2
запитає,2
запитує,2
заплакав,2
заплутати,2
заплющивши,2
запнуту,2
заповнює,2
заправочна,2
запросили,2
запідозрить,2
запізнилися,2
зареготав,2
заридав,2
зарипіли,2
зародку,2
зарості,2
засвітився,2
засвітили,2
засичало,2
засмутила,2
засміялась,2
засовалася,2
заспівав,2
заспівай,2
застиглому,2
застібку,2
засунула,2
засіб,2
зателефонував,2
затинаючись,2
затих,2
затихло,2
затопити,2
заточившись,2
затремтів,2
затремтівши,2
затримав,2
затримався,2
зауважив,2
зауважила,2
захлинаючись,2
заховане,2
заходили,2
захопилися,2
захопити,2
захоплено,2
захоче,2
захочете,2
захочу,2
зацікавлено,2
зачекай,2
зачекайте,2
зачепив,2
зачепило,2
зачіпати,2
зачіски,2
зашкодить,2
збагну,2
збагнули,2
зберігали,2
збирав,2
збираючись,2
збираєтесь,2
збирається,2
збити,2
збожеволіти,2
зброї,2
збудив,2
збіг,2
збірного,2
зважаючи,2
звалища,2
звалищах,2
зведене,2
звернутися,2
звертаючись,2
зверху,2
звиваючись,2
звичайну,2
звичайнісінькі,2
зволожніли,2
звірятко,2
згадав,2
згасали,2
згоден,2
згорнув,2
згорю,2
згоріли,2
здаватиметься,2
здалеку,2
здатні,2
здивувалася,2
здогадається,2
здрастуй,2
здрастуйте,2
здригаючись,2
здригнувшись,2
здригнулися,2
здіймалися,2
здіймаючи,2
зеленаву,2
зелене,2
зелений,2
зеленою,2
землянам,2
ззаду,2
зими,2
зиркнув,2
зла,2
злетів,2
злетіла,2
зловісної,2
злочинця,2
злітав,2
злітають,2
змалював,2
змах,2
зменшився,2
зминають,2
змоги,2
зможете,2
зможу,2
зморшки,2
змінюються,2
зміюка,2
змією,2
знайду,2
знайомі,2
знатиме,2
знаходить,2
знизу,2
зник,2
зникло,2
зникнути,2
зняти,2
знімок,2
золи,2
золота,2
золоті,2
зрада,2
зрадник,2
зробимо,2
зробить,2
зроблять,2
зрозумійте,2
зрозуміла,2
зрозумілий,2
зрозуміє,2
зруйнувати,2
зруйнуєте,2
зручні,2
зручніше,2
зрушити,2
зрівняли,2
зубний,2
зупиняючись,2
зустрів,2
зустрівся,2
зустріла,2
зустріти,2
зустрічаються,2
зібрав,2
зібрали,2
зійде,2
зійшло,2
зійшов,2
зім,2
зімни,2
зір,2
зірками,2
зірок,2
зітхання,2
зітхнувши,2
иа,2
йдеться,2
йдуть,2
йдучи,2
йтиме,2
кабінеті,2
казан,2
казані,2
казна,2
калатає,2
калейдоскоп,2
календарем,2
камінці,2
каналах,2
капелюсі,2
карлик,2
карлючки,2
карнавалі,2
карт,2
картину,2
картонну,2
карту,2
карті,2
кволий,2
квітами,2
квітка,2
квітку,2
кепські,2
кермом,2
кесареві,2
кесарів,2
кидатимуть,2
килим,2
ким,2
кинь,2
кислотою,2
клапан,2
клаптику,2
клапті,2
класиків,2
клацання,2
клацаючи,2
клацнули,2
клацнуло,2
кличе,2
клопоталася,2
клоун,2
клоуна,2
клунки,2
клянусь,2
кліпаючи,2
клітинка,2
книжці,2
кнопками,2
кнопку,2
ковзнув,2
ковзнула,2
ковтала,2
ковтнув,2
кожні,2
кожній,2
коктейлів,2
коледж,2
колесом,2
колишні,2
кольорових,2
кольорові,2
коліна,2
коліно,2
коліщата,2
колію,2
комарине,2
комод,2
конфетті,2
коньяк,2
копію,2
кордову,2
коридорами,2
корисні,2
коробок,2
корови,2
корову,2
коротке,2
короткий,2
коротку,2
коси,2
косить,2
космічних,2
космічну,2
котилася,2
котра,2
котрий,2
котушки,2
котів,2
кошмари,2
коштує,2
крамниці,2
краща,2
краєвид,2
краєчком,2
країв,2
країна,2
креслення,2
крикнути,2
крила,2
критики,2
крихітні,2
кришталевих,2
кришталеву,2
кровоточать,2
круговерть,2
кружляють,2
кружляє,2
крутив,2
крутнув,2
круто,2
крутіть,2
крісла,2
крісло-гойдалка,2
кулак,2
кульбаби,2
кульбабу,2
культура,2
культуру,2
купами,2
курили,2
курс,2
куртку,2
куряви,2
куряву,2
кутках,2
кутник,2
куток,2
кущах,2
кущі,2
кімнат,2
кімнатах,2
кінотеатрів,2
л,2
лагідний,2
лагідні,2
ладану,2
ладна,2
легким,2
легіону,2
лежати,2
лежатиме,2
лежать,2
летимо,2
летіла,2
липневого,2
лиха,2
лиш,2
лишень,2
ллє,2
лосося,2
лугів,2
лузі,2
луна,2
лунала,2
льодяник,2
любите,2
любити,2
любов,2
людства,2
людство,2
людський,2
людських,2
людях,2
люльки,2
люльок,2
люстри,2
лягай,2
лягати,2
лягли,2
ляже,2
ляльки,2
ляльку,2
ляпаса,2
ляснула,2
ліворуч,2
лівої,2
ліву,2
ліжках,2
лій,2
лікар,2
ліктем,2
ліктів,2
лінкольна,2
літаків,2
літають,2
літерами,2
література,2
літературними,2
літери,2
літнього,2
ліфта,2
ліхтарів,2
майбутні,2
майбуття,2
майданчик,2
маку,2
малий,2
малого,2
мамо,2
мандруємо,2
манюсінькі,2
марка,2
мармуровому,2
мармуру,2
марнувати,2
марнується,2
марсіанами,2
марсіанськими,2
марсіанської,2
марсіанську,2
мартіні,2
марширували,2
масло,2
масовим,2
мастере,2
матиме,2
матимете,2
матимеш,2
матір,2
махаючи,2
махнув,2
машинально,2
машинки,2
машиною,2
машинці,2
машкару,2
маючи,2
мексіканець,2
мелодію,2
мелтона,2
металевий,2
метелик,2
метеликів,2
метеор,2
метеори,2
метеорити,2
метеоритний,2
метеоритів,2
механіків,2
механічних,2
мехіко,2
мехіко-сіті,2
мигцем,2
милосердні,2
милувалися,2
милі,2
милістю,2
минають,2
минає,2
мине,2
минулим,2
минулих,2
мир,2
мирмидонян,2
мирні,2
мити,2
миттєвий,2
мишей,2
мишенятко,2
мишки,2
мишку,2
млосно,2
мобілізовано,2
мовчазні,2
мовчанку,2
мовчання,2
мовчить,2
могутня,2
могутній,2
можливо,2
можливості,2
можливість,2
молодець,2
молодим,2
моментальний,2
монтегового,2
морок,2
морські,2
морями,2
мудрі,2
мужнім,2
музеї,2
мусило,2
мухи,2
міддю,2
мідний,2
мідних,2
мідному,2
міді,2
міжзоряні,2
міжпланетні,2
мікроба,2
мільярди,2
мінімальної,2
міст,2
містер,2
місячних,2
міцніше,2
мішень,2
мішковину,2
н,2
набрав,2
наважувався,2
навалилося,2
навколішки,2
навмання,2
навпіл,2
навстіж,2
навтіки,2
навчити,2
нагадати,2
наглядом,2
нагоду,2
нагору,2
надгробок,2
надсаджувався,2
назв,2
назвав,2
назвали,2
назвемо,2
назвою,2
назву,2
називають,2
найкращий,2
наказував,2
накинув,2
накинуться,2
належні,2
налякаю,2
намагайся,2
намагайтеся,2
намагалися,2
намагатися,2
намагаємося,2
намальовані,2
наміряючись,2
наодинці,2
напам,2
напасти,2
наперед,2
напередодні,2
наперсток,2
написали,2
написане,2
написано,2
наповнити,2
наповниш,2
напою,2
наприклад,2
напрочуд,2
напружена,2
напханий,2
народи,2
народився,2
насвистуючи,2
населення,2
наскочить,2
наслідки,2
наслідок,2
наснилося,2
насолода,2
наставника,2
настирливо,2
настрій,2
натомість,2
натоптав,2
натрапив,2
натяку,2
науки,2
нахаба,2
нахиливши,2
нахмурив,2
начиння,2
начитана,2
нашими,2
нашіптувати,2
небезпечно,2
небезпечні,2
небуття,2
невелика,2
невеличкого,2
невеличку,2
невидимими,2
невичерпній,2
нежива,2
незвичайна,2
незвичайними,2
незвичайного,2
незворушно,2
незграбні,2
незліченних,2
незнайомий,2
неймовірна,2
неминуче,2
ненавиділи,2
неоновий,2
непереливки,2
непоганий,2
непомітно,2
непорушно,2
непотрібні,2
неправильно,2
нерозумно,2
нерішуче,2
несамовитий,2
несамовито,2
несподівано,2
неуцтва,2
неуцтво,2
нечувано,2
нечутно,2
нещасними,2
нещастя,2
низько,2
нині,2
новина,2
новому,2
нової,2
ного,2
ножем,2
нозі,2
нолл,2
номері,2
носа,2
носовичків,2
ночах,2
нуль,2
нумо,2
ньюсуїк,2
нюх,2
ніжністю,2
нікому,2
німим,2
нісенітниця,2
нічним,2
нічному,2
нічної,2
нічні,2
нічогісінько,2
ніякої,2
обвів,2
обдурити,2
обережні,2
обережніше,2
обернулася,2
обкладинках,2
обкладинки,2
облизнув,2
облизнула,2
облиш,2
обліпили,2
обм,2
обмацувала,2
обміркувати,2
обом,2
обпалена,2
обпалені,2
обпікає,2
образити,2
обслуговували,2
обсяг,2
обурення,2
обчислити,2
обшир,2
обійми,2
обійшов,2
овва,2
овочі,2
огайо,2
огледівся,2
оголошено,2
одкровень,2
однакову,2
однакові,2
одних,2
одночасно,2
одягом,2
одіж,2
ожив,2
оживає,2
озирайся,2
озирнувшись,2
озирнулися,2
озирнутись,2
оказії,2
океан,2
океані,2
окинув,2
окремі,2
олівець,2
олівця,2
опинились,2
оповивала,2
оповитий,2
оповідь,2
опустивши,2
опустившись,2
освітлював,2
освічений,2
особняка,2
особняку,2
особою,2
осонні,2
останніми,2
острів,2
осяяний,2
осіннього,2
ота,2
отвір,2
оте,2
отруйні,2
охопила,2
охопить,2
охороняли,2
оцей,2
оцих,2
оцю,2
очицями,2
очищати,2
ошелешено,2
павуки,2
павутина,2
павучих,2
павільйоні,2
падай,2
падаю,2
палець,2
пальця,2
пальцях,2
пальців,2
палючий,2
паліть,2
паморочилася,2
панаму,2
панував,2
панувала,2
пап,2
папірець,2
парканом,2
паркану,2
парфуми,2
пахвою,2
пахву,2
пахнуть,2
пачку,2
пачок,2
пеггі-енн,2
пекло,2
пелюстками,2
пелюстки,2
пелюстку,2
перебіг,2
перевів,2
перевірте,2
перегодом,2
передачі,2
передмісті,2
передчасно,2
перейнятися,2
переказ,2
переконувати,2
перемоги,2
перемогти,2
перемін,2
перемішалося,2
переніс,2
перепало,2
переповнює,2
перепону,2
перепочити,2
пересвідчитися,2
переслідувати,2
переслідує,2
пересохло,2
переставляючи,2
перестає,2
переступив,2
перетворені,2
перетворившись,2
перетворимося,2
перетвориться,2
перетворювало,2
переходив,2
перехожих,2
перешкоду,2
переїхала,2
персик,2
персикового,2
перукарні,2
першим,2
першому,2
першу,2
пиво,2
пивом,2
пилом,2
пильнуй,2
питав,2
пишаючись,2
пишеться,2
пиши,2
пишуть,2
плавали,2
плавання,2
плавно,2
платитимемо,2
плачуть,2
плачучи,2
племена,2
плечу,2
пливи,2
пломеніли,2
пломеніють,2
плутон,2
пляжу,2
пляшка,2
пляшки,2
пляшок,2
плівка,2
плівку,2
по-своєму,2
побалакати,2
побачимо,2
побачите,2
поблажливо,2
побігли,2
побігти,2
пов,2
повернемо,2
повернулась,2
повернулася,2
повернулися,2
повернуть,2
повернімося,2
повертався,2
поверталися,2
поверхні,2
поверху,2
повний,2
повну,2
повороту,2
повір,2
повірити,2
повірте,2
повісив,2
повісті,2
погана,2
поганенький,2
погань,2
погас,2
поглинає,2
поглине,2
поглядами,2
поглядаючи,2
поглянула,2
поглянули,2
поговорити,2
поговорю,2
погоду,2
погоню,2
подай-но,2
подивилась,2
подивилися,2
подивись-но,2
подихом,2
подлер-шість,2
подобаються,2
подорож,2
подорожувати,2
подробиці,2
пожбурив,2
пожеж,2
пожежна,2
пожежникові,2
пожежній,2
пожежу,2
пожовклі,2
познайомилися,2
покажи,2
показала,2
показує,2
поквапливо,2
покидати,2
покинула,2
покинули,2
покинута,2
покинутий,2
покинутим,2
покладіть,2
поклала,2
покоління,2
поколінь,2
покотилася,2
покрівлі,2
покірливо,2
полагодити,2
поле,2
полегшало,2
полегшено,2
полежати,2
полетів,2
полетіти,2
поливальна,2
половини,2
полуденка,2
полудня,2
полюбляють,2
поля,2
політ,2
політику,2
поліцію,2
помацки,2
помилка,2
помилок,2
помирають,2
помирає,2
помреш,2
помститися,2
поміркувати,2
помітили,2
помітно,2
поміч,2
понеділок,2
понюхав,2
поп,2
попалив,2
попелу,2
попервах,2
поперечина,2
пополудні,2
поправив,2
попросила,2
попідруч,2
поралася,2
порив,2
порожньому,2
порожньою,2
порожню,2
порозумнішали,2
порухи,2
поручнів,2
поруччя,2
порушити,2
порушував,2
порцію,2
порядок,2
порятунку,2
порі,2
поріг,2
посиділи,2
посидіти,2
послуг,2
послухав,2
посміхався,2
посміхаючись,2
поснідали,2
поснідаємо,2
поспішай,2
постать,2
постраждає,2
постукати,2
посунув,2
потеплішало,2
потерти,2
потилицю,2
потоками,2
потонути,2
потрапила,2
потрібно,2
потрібною,2
потяг,2
потягли,2
потягнув,2
потік,2
похапцем,2
похмурий,2
похмуро,2
похмурого,2
похорон,2
почекайте,2
почекає,2
почуттям,2
почують,2
пошук,2
пошуках,2
поїду,2
правду,2
правив,2
правила,2
праворуч,2
праворуч-ліворуч,2
праву,2
прагне,2
прагнемо,2
прагнула,2
прагнуть,2
праці,2
прегарний,2
прекрасне,2
прекрасних,2
приблизно,2
прибою,2
прибіг,2
привиди,2
привіт,2
пригадуючи,2
приголомшливе,2
пригорща,2
придумали,2
призвали,2
призводить,2
прийде,2
прийдемо,2
прийдеш,2
прийду,2
прийдуть,2
прикро,2
прикусила,2
прилетіла,2
прилип,2
примружився,2
примусив,2
примірник,2
примірників,2
принадність,2
принесла,2
принесли,2
приносять,2
принюхувався,2
припливи,2
припікало,2
природно,2
прислухається,2
пристойний,2
пристойну,2
пристрій,2
присутності,2
присягаюся,2
притулок,2
прихилився,2
прихилилася,2
приходить,2
причаївшись,2
причинив,2
приятельки,2
приятеля,2
приємне,2
приїду,2
проби,2
проблем,2
проблема,2
пробігла,2
пробігти,2
пробіжок,2
провадив,2
провели,2
провулка,2
провулках,2
провулку,2
провів,2
програв,2
програму,2
програмі,2
програти,2
прогулянку,2
продав,2
прожекторів,2
прозорі,2
пройти,2
пройшли,2
прокаїнова,2
прокидаючись,2
прокинусь,2
пролунали,2
промені,2
промовляв,2
промовляє,2
пронизливий,2
пропливали,2
просочується,2
простий,2
простогнав,2
простували,2
простягла,2
простягнув,2
просунув,2
протилежного,2
прохання,2
прохолодного,2
прохолодою,2
прочинив,2
прочитавши,2
прочитали,2
прощавай,2
прощання,2
прощається,2
пругу,2
прядуть,2
прірвою,2
прірву,2
психіатр,2
птаха,2
птахів,2
пташина,2
пташині,2
пташка,2
пташку,2
птицю,2
пустельними,2
пустельного,2
пустельної,2
пушинка,2
пущі,2
пф-ф,2
пів,2
північ,2
півстоліття,2
півтора,2
підбори,2
підборіддям,2
підвела,2
підводився,2
підвіски,2
піджак,2
підкидав,2
підлітків,2
підняла,2
підняти,2
підніжжя,2
підніс,2
підозріливо,2
підпалюємо,2
підсвідоме,2
підскочив,2
підсмикнули,2
підстрибував,2
підступив,2
підступна,2
підступно,2
підтвердження,2
підтвердив,2
підтримувати,2
підхопив,2
підштовхнув,2
підійти,2
пізньої,2
пізня,2
пірнула,2
пірнули,2
пірнути,2
пісні,2
пістолет,2
піта,2
пітьма,2
пітьми,2
рада,2
радикал,2
радості,2
радіо-,2
радіохвилі,2
району,2
ракетами,2
ракетні,2
ранок,2
рантом,2
раптово,2
рахувати,2
рвонулася,2
реальності,2
револьвер,2
реготу,2
режисер,2
рекламні,2
реле,2
репліку,2
речами,2
речення,2
рештки,2
рибу,2
ридала,2
ризиковано,2
ризику,2
ринула,2
ринули,2
ринуть,2
робить,2
роги,2
рогом,2
роджер,2
родині,2
рожева,2
рожевий,2
розважаються,2
розважитись,2
розважитися,2
розгадати,2
розглядали,2
розглядаючи,2
розглядає,2
розкішний,2
розлютився,2
розлючений,2
розлітаємося,2
розмовляла,2
розмовляють,2
розмовляючи,2
розмовляємо,2
розмовляєте,2
розмовляєш,2
розмірений,2
розмірковуючи,2
розміром,2
розмірів,2
розпеченому,2
розпливалися,2
розплющені,2
розплющивши,2
розповів,2
розповідав,2
розповідала,2
розпізнати,2
розраджував,2
розсудливо,2
розсунув,2
розсунулися,2
розтала,2
розтин,2
розтини,2
розуміти,2
розчарований,2
розчепіривши,2
розчиняємось,2
розчула,2
розширилися,2
розшуку,2
розшукувати,2
розшукує,2
розітнули,2
рокфеллера,2
росте,2
роти,2
рузвельта,2
рукав,2
рукопис,2
рукописи,2
рум,2
рут,2
рухатись,2
рухливе,2
ручаюся,2
ручками,2
ручки,2
руш,2
рушав,2
рушила,2
рушниця,2
руїн,2
рядках,2
рясно,2
рівно,2
рівноваги,2
рідина,2
рідиною,2
рідних,2
різкий,2
різкому,2
різниця,2
різнобарвними,2
річці,2
сажею,2
саламандру,2
сам-один,2
самими,2
самогубства,2
самостійно,2
самотніх,2
самотужки,2
самоті,2
сараї,2
сваряться,2
свині,2
свистів,2
своя,2
свято,2
священика,2
свідок,2
свідомість,2
свіже,2
свіжу,2
світання,2
світлий,2
світляків,2
світляною,2
світом,2
свічку,2
секунду,2
селищі,2
сенсу,2
серветки,2
середину,2
середню,2
серйозно,2
сигар,2
сигару,2
сиди,2
сидимо,2
сидите,2
сидиш,2
сил,2
силкувалася,2
силу,2
силі,2
синів,2
синій,2
синіх,2
сирена,2
система,2
сичало,2
скажемо,2
скажуть,2
сказавши,2
скафандра,2
скельця,2
складав,2
складала,2
складали,2
складалося,2
склалася,2
склалося,2
склепив,2
скликав,2
склом,2
скляного,2
сковорідку,2
скону,2
скоцюрбившись,2
скочив,2
скреготом,2
скрутити,2
скрізь,2
скульптор,2
скінчилося,2
славно,2
славні,2
словах,2
слухав,2
слухатимуть,2
слухаю,2
слухають,2
слухає,2
слухаєш,2
слухняно,2
смаглява,2
смаглявий,2
смакуючи,2
смарагдовим,2
смикаючи,2
смисл,2
сморід,2
смужка,2
сміт,2
сміття,2
сміттєспалювальну,2
сміттєспалювача,2
смішний,2
смішних,2
смішного,2
смішні,2
сміються,2
сміялася,2
сміялися,2
сміється,2
сни,2
снодійні,2
сном,2
снігопадом,2
снідали,2
сніжинки,2
собак,2
совалися,2
солдатів,2
солі,2
соммерс,2
сонячному,2
сп,2
спала,2
спалахнули,2
спалахували,2
спалимо,2
спалить,2
спалюватиме,2
спалюємо,2
спалять,2
спасіння,2
спека,2
спекотне,2
спекотному,2
списаного,2
спитати,2
спливали,2
спливе,2
сплять,2
сповнюючи,2
сповістив,2
сподобалося,2
сподобається,2
сподіваюся,2
сполуку,2
спотикалися,2
справжнього,2
справжнє,2
справжні,2
справжнім,2
спробуй,2
спробуй-но,2
спробуємо,2
спустошений,2
спустошила,2
співає,2
співаємо,2
спілкуватися,2
срібними,2
ставиться,2
ставляться,2
сталевими,2
станеться,2
старе,2
старих,2
старовинні,2
стародавнього,2
стародавні,2
старому,2
стару,2
старші,2
статути,2
стверджує,2
створена,2
створений,2
стежили,2
стежити,2
стелею,2
стережіться,2
стискав,2
стискала,2
стишив,2
стишуй,2
столик,2
столиків,2
столиці,2
столом,2
стомлено,2
стосики,2
стосовно,2
стосунки,2
страшна,2
страшного,2
страшної,2
стрепенеться,2
стривай,2
стривайте,2
стримуватися,2
струмені,2
струмінь,2
струснув,2
струсонув,2
стрясав,2
стрясає,2
стрімкою,2
стрічку,2
стукіт,2
ступав,2
ступали,2
ступає,2
стурбована,2
стій,2
стільцях,2
стіна,2
стінну,2
сум,2
сумний,2
суміш,2
супокою,2
супутники,2
сурм,2
сусідка,2
сусідньому,2
сусідів,2
сушили,2
схаменіться,2
схилом,2
схлипував,2
сховалася,2
сховати,2
сховатись,2
сховатися,2
сходи,2
сходинках,2
схопившись,2
схопила,2
схід,2
сценарій,2
сценарію,2
сценарії,2
сцени,2
сьомої,2
сьомій,2
сядь,2
сяйво,2
сяйливими,2
сяйливих,2
сяк-так,2
сідай,2
сідали,2
сік,2
сіло,2
сінника,2
сіні,2
сірий,2
сісти,2
сітки,2
таблетку,2
табори,2
таж,2
тайм,2
тайнен,2
танцювати,2
тато,2
татові,2
татусевим,2
татусеві,2
татусів,2
таємниче,2
тварину,2
твердив,2
твого,2
творів,2
твою,2
твоїй,2
театри,2
телевізорними,2
телевізору,2
телеграм,2
телекамери,2
телепатичний,2
темна,2
темному,2
тендітним,2
теорію,2
тепло,2
теплому,2
тиньковані,2
тиск,2
тиску,2
тихий,2
тихим,2
товаристві,2
товстун,2
тонке,2
тонкий,2
тонким,2
тонкому,2
тонку,2
торо,2
торохтять,2
торохтіла,2
тостер,2
тостера,2
точилася,2
тої,2
трав,2
трапилось,2
трапитися,2
трапляється,2
тремтить,2
тремтлива,2
тремтливим,2
тремтливого,2
тремтливому,2
тремтіння,2
тремтіти,2
триватиме,2
тривожно,2
тридцяти,2
тримайся,2
тримала,2
тримали,2
троянд,2
троє,2
труби,2
трубки,2
трунок,2
труп,2
трусило,2
тріснув,2
тс-с,2
туалету,2
туди-сюди,2
туман,2
турбує,2
турецьких,2
туристи,2
тьмяно,2
тьмяному,2
тютюном,2
тяглася,2
тяжко,2
тікав,2
тікай,2
тікаючи,2
тіл,2
тіней,2
тірра,2
тісно,2
тіточка,2
тіточки,2
уб,2
убивати,2
убік,2
увага,2
уважно,2
увімкнув,2
увірвався,2
удару,2
удома,2
узялася,2
укол,2
укритий,2
уламки,2
уламків,2
улюблені,2
уночі,2
університету,2
університеті,2
упали,2
уранці,2
уривки,2
усередину,2
усередині,2
успіх,2
устиг,2
усього-на-всього,2
усякими,2
утворюючи,2
уткнувшись,2
утупився,2
ух,2
ухопився,2
ухопить,2
учених,2
ущух,2
ущухав,2
уява,2
уявляю,2
уяві,2
уїлл,2
фабриці,2
фальш,2
фари,2
фейєрверки,2
фортепіано,2
фути,2
філда,2
філософ,2
філософія,2
фінка,2
халепу,2
хапаючи,2
хапає,2
хати,2
хатина,2
хвиль,2
хвильку,2
хвилюйся,2
хвилюйтеся,2
хвилях,2
хвороба,2
хемінгуей,2
хемінгуея,2
химерна,2
хихикнув,2
хихикнула,2
хлопців,2
хлопчика,2
хлопчиком,2
хмарка,2
ховаючи,2
ховається,2
ходи-но,2
ходою,2
холодильнику,2
холодними,2
хором,2
христос,2
худорляве,2
хурчать,2
хід,2
цвяхи,2
цезаря,2
центів,2
церкві,2
цибулю,2
цивілізації,2
цими,2
цитувати,2
цитує,2
циферблат,2
цифри,2
цифрою,2
цокає,2
цокотів,2
цікавіше,2
цінностей,2
ціною,2
чарів,2
чарівний,2
чарівно,2
часи,2
частини,2
частки,2
частіше,2
чверть,2
чекатимемо,2
чекають,2
чекаємо,2
червоним,2
червоному,2
чергу,2
четверте,2
чигає,2
чимсь,2
чином,2
чистий,2
читайте,2
читатиму,2
читає,2
читаєте,2
чиюсь,2
чоловікові,2
чоловіче,2
чоловічого,2
чорна,2
чорним,2
чорними,2
чорній,2
чорти,2
чосу,2
чотириста,2
чудовисько,2
чудового,2
чудову,2
чужих,2
чужого,2
чужою,2
чужі,2
чутний,2
чує,2
чується,2
чіпала,2
чіплялися,2
шампанського,2
шар,2
шатах,2
шатро,2
шафу,2
швидка,2
швидкості,2
шекспіром,2
шинка,2
шинквасі,2
шинку,2
широка,2
широких,2
широкі,2
ширяли,2
шкарпетки,2
шкодував,2
шляху,2
шоста,2
шпалах,2
шпарину,2
штанами,2
штатах,2
штаті,2
штовхнув,2
штука,2
штуку,2
штурмові,2
штурхана,2
шукайте,2
шукали,2
шукачі,2
шукаючи,2
шум,2
шуму,2
шурхотом,2
шухляди,2
шістсот,2
щаслива,2
щасливо,2
щезло,2
щелепи,2
щеплення,2
щиросердя,2
щити,2
щоразу,2
щоранку,2
щороку,2
щіткою,2
юпітері,2
юрбу,2
юрмилися,2
яв,2
явилися,2
явиться,2
язав,2
язані,2
язку,2
язниці,2
язувати,2
язів,2
як-от,2
якнайбільше,2
якомога,2
якоїсь,2
якій,2
ями,2
яна,2
яними,2
яного,2
яніли,2
яса,2
яскрава,2
яскраве,2
яскравому,2
яскраві,2
ят,2
ятай,2
ятала,2
ятали,2
ятають,2
ятий,2
ятнадцяти,2
ятнадцятого,2
ятому,2
яту,2
ях,2
ящику,2
є-маше,2
єдине,2
єство,2
ігор,2
іграшки,2
іграшкою,2
ігри,2
імена,2
індіанські,2
індіанці,2
іншими,2
іншої,2
іржавів,2
іржі,2
іскри,2
істина,2
істориків,2
істоти,2
іцо,2
іі,2
їдальні,2
їде,2
їдуть,2
їстиму,2
їхала,2
їхали,2
їхнім,2
ґанком,2
-вів,1
-відповідав,1
-немає,1
10,1
101,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
1956,1
1965,1
1966,1
20,1
21,1
22,1
2257-й,1
23,1
24,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
6,1
62,1
7,1
9,1
aт,1
de,1
derrieres,1
dios,1
doc2fb_image_03000006,1
doc2fb_image_03000007,1
doc2fb_image_03000008,1
doc2fb_image_03000009,1
doc2fb_image_0300000a,1
doc2fb_image_0300000b,1
doc2fb_image_0300000c,1
doc2fb_image_0300000d,1
doc2fb_image_0300000e,1
doc2fb_image_0300000f,1
doc2fb_image_03000010,1
doc2fb_image_03000011,1
doc2fb_image_03000012,1
doc2fb_image_03000013,1
doc2fb_image_03000014,1
doc2fb_image_03000015,1
doc2fb_image_03000016,1
doc2fb_image_03000017,1
doc2fb_image_03000018,1
doc2fb_image_03000019,1
doc2fb_image_0300001a,1
